Release 10.1 - par K.31 (lin)
Copyright (c) 1995-2008 Xilinx, Inc.  All rights reserved.

Sun Mar  1 22:31:03 2015


INFO: The IO information is provided in three file formats as part of the Place and Route (PAR) process.  These formats are:
1. The <design name>_pad.txt file (this file) designed to provide information on IO usage in a human readable ASCII text format viewable through common text editors.
2. The <design namd>_pad.csv file for use with spreadsheet programs such as MS Excel. This file can also be read by PACE to communicate post PAR IO information.
3. The <design name>.pad file designed for parsing by customers.  It uses the "|" as a data field separator.

INPUT FILE:       top_level_map.ncd
OUTPUT FILE:      top_level_pad.txt
PART TYPE:        xc2s300e
SPEED GRADE:      -6
PACKAGE:          pq208

Pinout by Pin Number:

+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|Pin Number|Signal Name|Pin Usage|Pin Name            |Direction|IO Standard|IO Bank Number|Drive (mA)|Slew Rate|Termination|IOB Delay|Voltage|Constraint|DCI Value|IO Register|Signal Integrity|
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|P1        |           |         |GND                 |         |           |              |          |         |           |         |       |          |         |           |                |
|P2        |           |         |TMS                 |         |           |              |          |         |           |         |       |          |         |           |                |
|P3        |           |IOB      |IO                  |UNUSED   |           |7             |          |         |           |         |       |          |         |           |                |
|P4        |           |IOB      |IO_VREF_7           |UNUSED   |           |7             |          |         |           |         |       |          |         |           |                |
|P5        |           |IOB      |IO                  |UNUSED   |           |7             |          |         |           |         |       |          |         |           |                |
|P6        |           |IOB      |IO_VREF_7_L49P_Y    |UNUSED   |           |7             |          |         |           |         |       |          |         |           |                |
|P7        |           |IOB      |IO_L49N_Y           |UNUSED   |           |7             |          |         |           |         |       |          |         |           |                |
|P8        |           |IOB      |IO                  |UNUSED   |           |7             |          |         |           |         |       |          |         |           |                |
|P9        |           |IOB      |IO                  |UNUSED   |           |7             |          |         |           |         |       |          |         |           |                |
|P10       |           |IOB      |IO_VREF_7_L48P_Y    |UNUSED   |           |7             |          |         |           |         |       |          |         |           |                |
|P11       |           |IOB      |IO_L48N_Y           |UNUSED   |           |7             |          |         |           |         |       |          |         |           |                |
|P12       |           |         |GND                 |         |           |              |          |         |           |         |       |          |         |           |                |
|P13       |           |         |VCCO                |         |           |0             |          |         |           |         |3.30   |          |         |           |                |
|P14       |           |         |VCCINT              |         |           |              |          |         |           |         |1.8    |          |         |           |                |
